pattern_id,key,left_token_id,right_token_id,distance,left_text,right_text,train_support,valid_support,npmi,heldout_log_rate_diff,document_count,document_coverage,parent_reuse
55,46139336,11,498,1,",", you,3421,821,0.13756511,0.06163070,2421,0.24210000,32
56,46140912,11,892,1,",", which,3398,926,0.31821827,0.06546631,2834,0.28340000,16
57,1837106208,438,264,1, as, a,3380,868,0.28422828,0.00609510,2952,0.29520000,9
58,54542360,13,4102,1,., ,3379,1186,0.30041370,0.31854087,1058,0.10580000,11
59,922776032,220,7288,1, , •,3303,773,0.57088516,0.08677300,879,0.08790000,13
60,922746949,220,17,2, ,2,3290,839,0.29202958,0.00089776,2430,0.24300000,47
61,1568670941,374,311,2, is, to,3287,828,0.14198788,0.01318304,2854,0.28540000,11
62,46139073,11,432,2,",", it,3264,822,0.11409939,0.01343395,2847,0.28470000,12
63,46138777,11,358,2,",", I,3236,851,0.10657856,0.02985323,2266,0.22660000,13
64,1879049248,448,264,1, with, a,3183,832,0.25646792,0.02378739,2908,0.29080000,2
65,1547699232,369,264,1, for, a,3120,782,0.21794649,0.01819916,2810,0.28100000,5
66,922746961,220,20,2, ,5,3104,790,0.38267682,0.00287956,2363,0.23630000,26
67,1275069678,304,315,3, in, of,3083,769,0.12394596,0.02303308,2797,0.27970000,2
68,67108916,16,13,1,1,.,3064,763,0.20443218,0.02468412,2203,0.22030000,33
69,46139248,11,476,1,",", or,3031,743,0.19472705,0.04041746,2472,0.24720000,3
70,2319451228,553,279,1, by, the,3020,754,0.21904795,0.02208537,2618,0.26180000,8
71,67108926,16,15,3,1,0,2999,750,0.30867097,0.02042660,1960,0.19600000,54
72,67108932,16,17,1,1,2,2913,747,0.34242682,0.00466080,2088,0.20880000,115
73,1170218224,279,1852,1, the, same,2833,720,0.41758295,0.00430591,2515,0.25150000,7
74,67109746,16,220,3,1, ,2779,836,0.22918342,0.16431656,1955,0.19550000,133
75,62914622,15,15,3,0,0,2771,686,0.29034559,0.03055154,1251,0.12510000,81
76,67108928,16,16,1,1,1,2690,706,0.29420101,0.02785314,1856,0.18560000,100
77,67108925,16,15,2,1,0,2690,644,0.28976388,0.06406337,1904,0.19040000,32
78,2709521932,646,387,1, can, be,2661,661,0.47336590,0.02716906,2192,0.21920000,8
79,1501571936,358,2776,1, I,'m,2652,643,0.61545824,0.05139025,1603,0.16030000,12
80,1623196893,387,311,2, be, to,2604,656,0.21075363,0.01310884,2350,0.23500000,19
81,2088765976,498,646,1, you, can,2535,604,0.42316254,0.06884034,1938,0.19380000,5
82,71303220,17,13,1,2,.,2502,595,0.20662832,0.07074991,1984,0.19840000,32
83,46139096,11,438,1,",", as,2431,635,0.12942154,0.02310140,2296,0.22960000,9
84,922746953,220,18,2, ,3,2428,588,0.32651954,0.05256183,1889,0.18890000,30
85,2575303712,614,264,1, have, a,2409,619,0.24952650,0.00667265,2243,0.22430000,12
86,922746957,220,19,2, ,4,2379,629,0.35057557,0.03523012,1949,0.19490000,19
87,46140436,11,773,1,",", so,2377,609,0.24121000,0.00375818,2141,0.21410000,10
88,3460302060,825,315,1, one, of,2373,586,0.31690444,0.03305609,2261,0.22610000,13
89,46140572,11,807,1,",", they,2365,576,0.17745134,0.04689126,2098,0.20980000,2
90,922747762,220,220,3, , ,2335,639,0.13216632,0.06967166,1538,0.15380000,53
91,5729420508,1366,311,1, want, to,2333,616,0.43899930,0.03387107,1996,0.19960000,23
92,1837106905,438,438,2, as, as,2332,593,0.39726850,0.00375277,2262,0.22620000,4
93,1501564609,358,944,2, I,'t,2327,560,0.41229658,0.05886400,1556,0.15560000,11
94,54527449,13,374,2,., is,2323,557,0.12162004,0.06251512,1929,0.19290000,6
95,922746964,220,21,1, ,6,2321,590,0.37548958,0.00409649,1846,0.18460000,19
96,2877294092,686,387,1, will, be,2281,537,0.48775500,0.08083675,1903,0.19030000,10
97,46139672,11,582,1,",", we,2280,598,0.20046404,0.02719441,1878,0.18780000,8
98,2575303900,614,311,1, have, to,2273,578,0.21219375,0.00374758,2020,0.20200000,18
99,1568671844,374,537,1, is, not,2249,596,0.32020255,0.03753409,2063,0.20630000,9
100,1811941616,432,572,1, it, was,2228,618,0.33926566,0.08316323,1905,0.19050000,4
101,1304431156,311,653,1, to, do,2227,567,0.31605486,0.00251699,2032,0.20320000,7
102,2088764637,498,311,2, you, to,2208,549,0.14503495,0.02620959,1772,0.17720000,4
103,1602227268,382,785,1,".

",The,2206,553,0.51409389,0.01804382,1695,0.16950000,3
104,1765803976,421,498,1, if, you,2205,542,0.47347016,0.03768241,1906,0.19060000,12
105,46139608,11,566,1,",", he,2186,571,0.19927430,0.02309492,1568,0.15680000,7
106,67108930,16,16,3,1,1,2184,598,0.26025380,0.07021179,1297,0.12970000,64
107,922746973,220,23,2, ,8,2176,543,0.36491407,0.02259991,1650,0.16500000,20
108,1354761624,323,358,1, and, I,2166,568,0.13362081,0.02701837,1692,0.16920000,6
109,1837106268,438,279,1, as, the,2160,574,0.11277437,0.04030027,2124,0.21240000,11
110,67108936,16,18,1,1,3,2159,520,0.37517572,0.05803724,1512,0.15120000,83
111,8753513692,2087,311,1, going, to,2156,509,0.43547083,0.07802754,1731,0.17310000,24
112,2936014060,700,315,1, out, of,2155,537,0.31474613,0.02401353,2003,0.20030000,8
113,1304431076,311,633,1, to, get,2151,559,0.35312731,0.01799572,1968,0.19680000,6
114,67108944,16,20,1,1,5,2144,604,0.38597778,0.09868005,1731,0.17310000,44
115,54530336,13,1096,1,., This,2117,478,0.41327988,0.12261016,1719,0.17190000,8
116,4966057180,1184,311,1, need, to,2108,512,0.41534069,0.04963591,1803,0.18030000,7
117,71303238,17,17,3,2,2,2108,522,0.32090771,0.03029295,1522,0.15220000,64
118,922746965,220,21,2, ,6,2089,565,0.35735912,0.05791935,1685,0.16850000,17
119,4341106188,1035,387,1, would, be,2087,546,0.49959443,0.02467044,1831,0.18310000,9
120,83886140,20,15,1,5,0,2086,511,0.37662458,0.04109967,1598,0.15980000,27
121,1501562077,358,311,2, I, to,2086,550,0.11533215,0.03244902,1650,0.16500000,4
122,62915442,15,220,3,0, ,2071,463,0.17882525,0.13252543,1431,0.14310000,97
123,2202010845,525,311,2, are, to,2055,518,0.16892550,0.01252151,1954,0.19540000,3
124,1501562078,358,311,3, I, to,2054,561,0.11335331,0.06771089,1751,0.17510000,3
125,1275069296,304,220,1, in, ,2019,512,0.11805361,0.00649862,1545,0.15450000,103
126,1811940574,432,311,3, it, to,2011,486,0.11623556,0.05464439,2009,0.20090000,2
127,67108917,16,13,2,1,.,1990,506,0.13908731,0.00381887,1066,0.10660000,17
128,1501563120,358,572,1, I, was,1976,542,0.31316893,0.07197050,1334,0.13340000,6
129,1304433668,311,1281,1, to, make,1975,510,0.36821564,0.01162142,1937,0.19370000,3
130,2399142944,572,264,1, was, a,1971,557,0.20463283,0.10180331,1761,0.17610000,11
131,3384805428,807,525,1, they, are,1968,475,0.41108220,0.05592390,1785,0.17850000,3
132,67108934,16,17,3,1,2,1966,484,0.27643259,0.03613702,1476,0.14760000,57
133,1631585312,389,264,1, on, a,1966,494,0.17945964,0.01568641,1947,0.19470000,0
134,4693427292,1119,279,1, into, the,1962,525,0.25985652,0.04721300,1837,0.18370000,2
135,54542361,13,4102,2,., ,1955,614,0.21109987,0.20738383,672,0.06720000,9
136,2575306704,614,1012,1, have, been,1954,530,0.55030467,0.06077755,1895,0.18950000,5
137,71303230,17,15,3,2,0,1935,475,0.26939229,0.03901343,1513,0.15130000,29
138,1304430273,311,432,2, to, it,1922,532,0.10968684,0.08105628,1910,0.19100000,4
139,71303234,17,16,3,2,1,1920,559,0.27263728,0.13160338,1352,0.13520000,42
140,75497524,18,13,1,3,.,1918,507,0.24910555,0.03500712,1567,0.15670000,23
141,62914625,15,16,2,0,1,1918,490,0.23499085,0.00090151,1307,0.13070000,55
142,922746940,220,15,1, ,0,1916,424,0.16688654,0.14272713,1045,0.10450000,78
143,1107307040,264,2696,1, a, lot,1908,439,0.49231580,0.10377706,1636,0.16360000,5
144,2843739228,678,279,1, all, the,1904,493,0.18906374,0.01433133,1853,0.18530000,8
145,1170215440,279,1156,1, the, first,1896,526,0.30624793,0.08333391,1807,0.18070000,4
146,2088765492,498,525,1, you, are,1872,430,0.31097919,0.10544307,1370,0.13700000,7
147,922746968,220,22,1, ,7,1860,485,0.34457220,0.02135150,1547,0.15470000,17
148,1501563288,358,614,1, I, have,1857,491,0.31618399,0.03526094,1494,0.14940000,1
149,75497532,18,15,1,3,0,1849,468,0.34407943,0.00839756,1606,0.16060000,32
150,67108956,16,23,1,1,8,1825,438,0.40202256,0.06158198,1326,0.13260000,30
151,71304050,17,220,3,2, ,1824,478,0.19716509,0.02635794,1570,0.15700000,75
152,67109745,16,220,2,1, ,1798,475,0.16230801,0.03441896,1307,0.13070000,122
153,54528984,13,758,1,., In,1787,421,0.39119207,0.08012631,1570,0.15700000,19
154,922746972,220,23,1, ,8,1782,508,0.33075747,0.11052422,1506,0.15060000,23
155,3821012060,911,279,1, about, the,1772,447,0.19052298,0.01177116,1732,0.17320000,3
156,46139929,11,646,2,",", can,1768,424,0.13589790,0.06233641,1697,0.16970000,2
157,1568671412,374,429,1, is, that,1757,435,0.15192589,0.03048268,1690,0.16900000,5
158,922746969,220,22,2, ,7,1753,434,0.33492434,0.03050497,1436,0.14360000,22
159,67108948,16,21,1,1,6,1737,473,0.39295612,0.06471500,1307,0.13070000,29
160,2088764638,498,311,3, you, to,1724,407,0.11013346,0.07805489,1520,0.15200000,1
161,67108940,16,19,1,1,4,1714,449,0.36231032,0.02597216,1396,0.13960000,42
162,1342177314,320,8,3, (,),1707,466,0.44145046,0.06722729,1480,0.14800000,0
163,1623196704,387,264,1, be, a,1707,420,0.17430632,0.03670364,1742,0.17420000,7
164,1811940385,432,264,2, it, a,1706,472,0.12034864,0.08060663,1751,0.17510000,3
165,922746976,220,24,1, ,9,1700,402,0.29225721,0.07639707,1392,0.13920000,26
166,4412409304,1052,374,1, there, is,1695,433,0.36942149,0.00083408,1619,0.16190000,7
167,2399143133,572,311,2, was, to,1690,467,0.15495160,0.07937983,1569,0.15690000,5
168,2088765848,498,614,1, you, have,1688,419,0.32154853,0.02789438,1454,0.14540000,6
169,1799357912,429,374,1, that, is,1680,427,0.14555201,0.00423068,1630,0.16300000,5
170,1384120326,330,1,3," ""","""",1675,478,0.55885621,0.11157666,1309,0.13090000,1
171,1799357848,429,358,1, that, I,1663,459,0.18224654,0.07820611,1339,0.13390000,5
172,1304431000,311,614,1, to, have,1661,456,0.16531064,0.07285208,1704,0.17040000,0
173,4546627912,1084,594,1, It,'s,1658,378,0.47473936,0.11293876,1357,0.13570000,1
174,3460301917,825,279,2, one, the,1638,375,0.17582491,0.10877086,1628,0.16280000,4
175,54531616,13,1416,1,., If,1629,368,0.40033269,0.12210429,1347,0.13470000,16
176,46140573,11,807,2,",", they,1628,407,0.12357242,0.02075999,1594,0.15940000,0
177,62914612,15,13,1,0,.,1627,375,0.10627789,0.10203271,1019,0.10190000,30
178,62914629,15,17,2,0,2,1626,404,0.24200120,0.02692904,1196,0.11960000,61
179,922746950,220,17,3, ,2,1625,374,0.18015266,0.10347292,1222,0.12220000,8
180,1757413421,419,11,2, this,",",1624,390,0.10524405,0.06096641,1647,0.16470000,1
181,2944405456,702,1012,1, has, been,1612,432,0.59581156,0.04872904,1616,0.16160000,2
182,1170216532,279,1429,1, the, most,1606,385,0.27705372,0.06272418,1584,0.15840000,8
183,12381586652,2952,311,1, able, to,1605,415,0.46970167,0.01293386,1530,0.15300000,16
184,1107305940,264,2421,1, a, few,1558,388,0.45179098,0.02461851,1578,0.15780000,1
185,54533904,13,1988,1,., But,1554,381,0.39550737,0.04025378,1334,0.13340000,0
186,54528329,13,594,2,.,'s,1546,347,0.16182402,0.12856707,1175,0.11750000,1
187,1170218332,279,1879,1, the, world,1545,394,0.32911069,0.00089390,1359,0.13590000,7
188,7302285016,1741,438,1, such, as,1544,388,0.56327030,0.01559202,1380,0.13800000,4
189,1304430337,311,448,2, to, with,1540,416,0.11853963,0.05668194,1602,0.16020000,1
190,46141552,11,1052,1,",", there,1529,386,0.19078112,0.01099746,1556,0.15560000,15
191,1799358144,429,432,1, that, it,1527,375,0.17559636,0.03859990,1533,0.15330000,4
192,67108961,16,24,2,1,9,1526,405,0.34130524,0.03901623,1056,0.10560000,18
193,100663392,24,24,1,9,9,1518,425,0.47651257,0.09247459,962,0.09620000,30
194,830473072,198,220,1,"
", ,1517,377,0.29366954,0.02671042,509,0.05090000,44
195,1799359644,429,807,1, that, they,1507,414,0.27750970,0.07352415,1458,0.14580000,2
196,79691828,19,13,1,4,.,1503,405,0.23801169,0.05420305,1333,0.13330000,27
197,1757414872,419,374,1, this, is,1488,326,0.25416982,0.15275646,1455,0.14550000,2
198,1501565148,358,1079,1, I, am,1486,423,0.54847904,0.10906333,1167,0.11670000,3
199,67108952,16,22,1,1,7,1486,348,0.37348434,0.08610637,1208,0.12080000,39
200,62915441,15,220,2,0, ,1485,399,0.13092240,0.05132574,1136,0.11360000,88
201,1799358408,429,498,1, that, you,1483,384,0.18632935,0.01435459,1264,0.12640000,5
202,46140860,11,879,1,",", who,1480,392,0.18462333,0.03699885,1327,0.13270000,4
203,922746978,220,24,3, ,9,1476,373,0.27051567,0.00997821,1075,0.10750000,7
204,922746982,220,25,3, ,:,1471,399,0.26859804,0.06079807,787,0.07870000,57
205,1321207436,315,419,1, of, this,1468,388,0.17196350,0.03488351,1532,0.15320000,3
206,62914630,15,17,3,0,2,1450,326,0.22495963,0.12688708,1050,0.10500000,46
207,11307844844,2696,315,1, lot, of,1444,310,0.42849262,0.17306565,1301,0.13010000,12
208,46138664,11,330,1,","," """,1442,387,0.13016856,0.05017275,989,0.09890000,3
209,1170214848,279,1008,1, the, other,1440,386,0.20614371,0.04897335,1434,0.14340000,6
210,54531736,13,1446,1,., You,1438,281,0.37790044,0.26711949,1074,0.10740000,1
211,54527945,13,498,2,., you,1437,349,0.11429114,0.04970659,1183,0.11830000,3
212,54535468,13,2379,1,., They,1428,417,0.39460029,0.13459045,1191,0.11910000,2
213,3980395756,949,315,1, part, of,1421,346,0.42222851,0.04714298,1405,0.14050000,3
214,1799357913,429,374,2, that, is,1418,393,0.12225936,0.08234128,1444,0.14440000,0
215,1837111680,438,1632,1, as, well,1407,391,0.54424702,0.08502688,1458,0.14580000,3
216,13451136704,3207,944,1, didn,'t,1402,375,0.69628275,0.04680533,1174,0.11740000,7
217,2491417632,594,264,1,'s, a,1400,334,0.14533580,0.06755215,1257,0.12570000,8
218,1631585518,389,315,3, on, of,1398,363,0.11792789,0.01713929,1488,0.14880000,0
219,1879049454,448,315,3, with, of,1397,393,0.11857908,0.09726163,1538,0.15380000,0
220,2709524160,646,944,1, can,'t,1395,334,0.43403905,0.06397433,1252,0.12520000,7
221,922746962,220,20,3, ,5,1394,356,0.24928591,0.00053252,1115,0.11150000,6
222,2088772588,498,2299,1, you,'re,1391,359,0.51437077,0.01107857,1078,0.10780000,7
223,71303242,17,18,3,2,3,1391,345,0.33418542,0.02869940,1072,0.10720000,32
224,4546627032,1084,374,1, It, is,1389,352,0.34847010,0.00717379,1304,0.13040000,3
225,1501566884,358,1513,1, I, don,1387,316,0.44190225,0.11362183,1194,0.11940000,27
226,1501563416,358,646,1, I, can,1386,334,0.29914579,0.05750181,1206,0.12060000,7
227,62914626,15,16,3,0,1,1381,430,0.18628553,0.19875643,948,0.09480000,47
228,5939136456,1416,498,1, If, you,1380,341,0.49381211,0.03242192,1248,0.12480000,5
229,46139028,11,421,1,",", if,1378,369,0.17296053,0.04794257,1420,0.14200000,9
230,71304049,17,220,2,2, ,1378,359,0.15649114,0.02046831,1030,0.10300000,81
231,1501567808,358,1744,1, I, think,1372,354,0.45965499,0.01080648,1133,0.11330000,5
232,3368030476,803,1091,1, more, than,1371,341,0.56333492,0.02587883,1388,0.13880000,14
233,1304434504,311,1490,1, to, see,1370,322,0.33158465,0.08248010,1383,0.13830000,2
234,4412409908,1052,525,1, there, are,1366,337,0.42403026,0.03402473,1382,0.13820000,3
235,54530992,13,1260,1,., He,1362,346,0.36326259,0.00473634,880,0.08800000,0
236,13300141760,3171,944,1, doesn,'t,1361,342,0.69192453,0.01562989,1234,0.12340000,9
237,2415920365,576,315,2, The, of,1352,382,0.17849848,0.10161473,1368,0.13680000,3
238,4596958680,1096,374,1, This, is,1331,340,0.39812000,0.00079418,1335,0.13350000,3
239,2994734488,714,358,1, but, I,1330,330,0.30399171,0.02830719,1240,0.12400000,5
240,5305796108,1265,387,1, should, be,1327,318,0.51320065,0.06309028,1225,0.12250000,1
241,17205051417,4102,4102,2, , ,1327,357,0.32686638,0.05259412,595,0.05950000,22
242,83886132,20,13,1,5,.,1323,347,0.20479550,0.02720199,1153,0.11530000,13
243,46139609,11,566,2,",", he,1317,356,0.12662694,0.05735341,1083,0.10830000,0
244,1170214344,279,882,1, the, time,1315,294,0.18078570,0.13247780,1303,0.13030000,2
245,922746974,220,23,3, ,8,1301,332,0.28109159,0.00021913,1013,0.10130000,4
246,2252342493,537,311,2, not, to,1299,310,0.14181945,0.06724334,1350,0.13500000,5
247,62914633,15,18,2,0,3,1291,286,0.28656431,0.14164620,965,0.09650000,52
248,67108933,16,17,2,1,2,1280,370,0.21076318,0.12442202,969,0.09690000,17
249,1811942320,432,748,1, it,’s,1274,280,0.35293532,0.14959286,909,0.09090000,2
250,46142228,11,1221,1,",", then,1272,362,0.23131203,0.10883284,1256,0.12560000,0
251,50331712,12,16,1,-,1,1258,291,0.37030364,0.09842079,784,0.07840000,29
252,1354765076,323,1221,1, and, then,1258,309,0.30812890,0.03840278,1227,0.12270000,0
253,67108929,16,16,2,1,1,1256,384,0.17692093,0.18048958,900,0.09000000,17
254,1342177313,320,8,2, (,),1248,375,0.38742357,0.16316285,881,0.08810000,0
255,62915646,15,271,3,0,"

",1242,326,0.27211792,0.02795349,1351,0.13510000,24
256,67108957,16,23,2,1,8,1240,278,0.33776980,0.12971117,881,0.08810000,9
257,2994734784,714,432,1, but, it,1239,303,0.29851216,0.04279270,1320,0.13200000,3
258,2936013917,700,279,2, out, the,1239,303,0.14984364,0.04279270,1309,0.13090000,1
259,2373978352,566,572,1, he, was,1233,347,0.37771106,0.09765365,980,0.09800000,0
260,1321209208,315,862,1, of, their,1227,283,0.20245125,0.10134617,1184,0.11840000,4
261,2172650734,518,315,3, at, of,1227,306,0.16450747,0.02320797,1297,0.12970000,1
262,100663357,24,15,2,9,0,1223,285,0.30178029,0.09103858,934,0.09340000,25
263,2491417821,594,311,2,'s, to,1222,293,0.10106856,0.06253715,1179,0.11790000,5
264,71303248,17,20,1,2,5,1219,330,0.32402690,0.05884090,1128,0.11280000,18
265,922746954,220,18,3, ,3,1217,298,0.21791729,0.04151623,959,0.09590000,3
266,54527232,13,320,1,., (,1213,349,0.15188704,0.11975439,967,0.09670000,1
267,1799358792,429,594,1, that,'s,1210,266,0.19416454,0.14934495,1085,0.10850000,2
268,54532340,13,1597,1,., And,1205,272,0.35694136,0.12289840,1002,0.10020000,1
269,1501572844,358,3003,1, I,'ve,1204,244,0.49240549,0.23070202,932,0.09320000,0
270,1275070092,304,419,1, in, this,1201,302,0.20199755,0.01494843,1251,0.12510000,0
271,3741320664,892,374,1, which, is,1198,331,0.31207997,0.07924397,1284,0.12840000,0
272,1501562981,358,537,2, I, not,1180,283,0.25626079,0.06228844,1095,0.10950000,3
273,3841983580,916,279,1, over, the,1175,302,0.21433315,0.00693797,1243,0.12430000,3
274,6345987572,1513,1405,1, don,’t,1172,310,0.67424974,0.03563970,885,0.08850000,9
275,1811940877,432,387,2, it, be,1172,315,0.22927156,0.05164004,1266,0.12660000,2
276,830473073,198,220,2,"
", ,1165,323,0.25353670,0.08271033,432,0.04320000,23
277,46141122,11,944,3,",",'t,1164,314,0.10413637,0.05530973,1144,0.11440000,2
278,3380609069,806,11,2, his,",",1158,313,0.11805717,0.05728791,998,0.09980000,1
279,922746958,220,19,3, ,4,1156,301,0.23572643,0.01992359,925,0.09250000,4
280,922746970,220,22,3, ,7,1154,253,0.26927209,0.15206558,902,0.09020000,2
281,1321208984,315,806,1, of, his,1150,345,0.19510464,0.16156157,1032,0.10320000,1
282,54528241,13,572,2,., was,1144,309,0.12988783,0.05658948,925,0.09250000,0
283,46139673,11,582,2,",", we,1144,298,0.10306167,0.02034169,1103,0.11030000,1
284,2172662452,518,3245,1, at, least,1133,278,0.65043559,0.03946877,1148,0.11480000,6
285,46140089,11,686,2,",", will,1130,294,0.11596685,0.01914123,1158,0.11580000,1
286,1799358680,429,566,1, that, he,1125,308,0.26459285,0.07009584,978,0.09780000,1
287,1107302900,264,1661,1, a, good,1124,312,0.32823171,0.08388853,1180,0.11800000,3
288,1275068481,304,16,2, in,1,1124,297,0.10467830,0.03461748,884,0.08840000,38
289,1107306784,264,2632,1, a, little,1121,294,0.38385091,0.02713772,1115,0.11150000,1
290,1384120325,330,1,2," ""","""",1117,295,0.48433491,0.03410793,907,0.09070000,0
291,33555724,8,323,1,), and,1109,272,0.17416650,0.03987755,1110,0.11100000,0
292,2202011748,525,537,1, are, not,1106,263,0.29814088,0.07081677,1114,0.11140000,0
293,4412408865,1052,264,2, there, a,1105,268,0.23637889,0.05107926,1178,0.11780000,4
294,18706597084,4460,311,1, trying, to,1104,250,0.43943677,0.11969993,1065,0.10650000,5
295,1170217280,279,1616,1, the, way,1104,270,0.21364833,0.04273889,1171,0.11710000,2
296,67108945,16,20,2,1,5,1095,226,0.27698235,0.21244027,817,0.08170000,8
297,62914637,15,19,2,0,4,1091,221,0.28620254,0.23115291,849,0.08490000,27
298,79691836,19,15,1,4,0,1089,313,0.28570746,0.11872244,1015,0.10150000,11
299,2575303902,614,311,3, have, to,1088,298,0.10791287,0.07053144,1186,0.11860000,1
300,3959424221,944,311,2,'t, to,1087,278,0.16011978,0.00197860,1090,0.10900000,13
301,2172650352,518,220,1, at, ,1085,317,0.19798639,0.13510088,712,0.07120000,92
302,1321208548,315,697,1, of, your,1085,302,0.16424560,0.08662613,1000,0.10000000,2
303,71303246,17,19,3,2,4,1084,245,0.32021503,0.12162060,877,0.08770000,16
304,96469052,23,15,1,8,0,1080,274,0.31172219,0.00605384,902,0.09020000,12
305,1568671528,374,458,1, is, an,1079,296,0.23771131,0.07210387,1181,0.11810000,1
306,54528053,13,525,2,., are,1079,254,0.10862382,0.08092132,1023,0.10230000,1
307,1811941477,432,537,2, it, not,1076,268,0.24812143,0.02448438,1154,0.11540000,2
308,6400509020,1526,279,1, through, the,1076,249,0.24797585,0.09801847,1068,0.10680000,1
